YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
2005,28,Charlotte Bobcats,E,18,64,0.22,-5.99,101.91,108.4,-6.49,-6.15,101.87,108.54,-6.67,24.9,24,58,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.497,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,"591,701","14,432"
2011,29,Washington Wizards,E,23,59,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71,24.9,22,60,0.11,-7.3,102.4,110.2,93.8,0.29,0.172,0.513,0.471,13.9,28,0.216,0.512,14.4,70.5,0.249,Verizon Center,"688,466","16,792"
2003,22,Memphis Grizzlies,W,28,54,0.341,-3.23,104.47,108.08,-3.62,-2.59,104.79,107.71,-2.92,24.9,32,50,0.63,-2.6,103.9,107.3,92.7,0.287,0.19,0.526,0.487,14.2,27,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,"611,322","14,910"
2014,22,Sacramento Kings,W,28,54,0.341,-2.9,106.22,109.46,-3.24,-2.08,106.39,108.77,-2.37,24.9,33,49,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,"667,949","16,291"
2014,23,Cleveland Cavaliers,E,33,49,0.402,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16,24.9,32,50,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.518,0.479,13,27.2,0.201,0.508,13,75.8,0.199,Quicken Loans Arena,"710,522","17,330"
2004,23,Cleveland Cavaliers,E,35,47,0.427,-2.62,102.1,105.05,-2.95,-3.07,102.16,105.59,-3.43,24.9,33,49,-0.44,-3.07,101.4,104.2,90.8,0.301,0.116,0.498,0.451,13.7,31.1,0.226,0.469,12.3,73,0.221,Gund Arena,"749,790","18,288"
2009,16,Chicago Bulls,E,41,41,0.5,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09,24.9,40,42,0.12,-0.16,108.4,108.7,93.1,0.3,0.189,0.541,0.493,13.3,28,0.239,0.493,13.1,70.9,0.238,United Center,"868,667","21,187"
2004,16,Utah Jazz,W,42,40,0.512,-1.22,103.12,104.52,-1.4,-0.53,103.21,103.86,-0.65,24.9,37,45,0.69,-0.53,101.9,103.3,86.6,0.356,0.127,0.509,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,Delta Center,"785,330","19,154"
2012,5,Philadelphia 76ers,E,35,31,0.53,4.24,104.7,100,4.7,3.59,104.42,100.45,3.97,24.9,43,23,-0.65,3.59,103.9,99.2,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,Wells Fargo Center,"577,597","17,503"
2017,26,Phoenix Suns,W,24,58,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98,25,27,55,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,"708,639","17,134"
